School Number,,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans,Division Name,Jurisdiction,"Population estimates, July 1, 2019, (V2019)","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Hispanic or Latino, percent(b)","Owner-occupied housing unit rate, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Population per square mile, 2010"
690,,Southampton High,10,0,13,3,2,7,23,3,4,,6,1,73,108,5,,,1,187,40,77,29,29,12,,Southampton County  ,"Southampton County, Virginia",17631,0.483,0.623,0.347,0.005,0.005,0.02,0.748,0.864,0.743,0.848,0.184,61348,26600,0.133,31
381,,Chancellor High,6,2,10,3,2,6,35,7,10,17,1,16,135,141,15,,,,291,83,152,14,29,13,,Spotsylvania County  ,"Spotsylvania County, Virginia",136215,0.508,0.754,0.175,0.005,0.028,0.107,0.781,0.948,0.898,0.912,0.317,88628,37212,0.066,304.9
20,,Courtland High,4,12,0,2,6,30,12,9,10,3,4,4,118,175,5,,,1,299,84,136,18,39,22,,Spotsylvania County  ,"Spotsylvania County, Virginia",136215,0.508,0.754,0.175,0.005,0.028,0.107,0.781,0.948,0.898,0.912,0.317,88628,37212,0.066,304.9
506,,Massaponax High,11,1,6,7,32,8,8,14,1,6,5,12,154,226,13,,,3,396,132,167,19,51,27,,Spotsylvania County  ,"Spotsylvania County, Virginia",136215,0.508,0.754,0.175,0.005,0.028,0.107,0.781,0.948,0.898,0.912,0.317,88628,37212,0.066,304.9
510,,Riverbend High ,5,3,3,20,2,10,4,0,5,1,10,0,176,271,8,,,4,459,121,205,20,87,25,1,Spotsylvania County  ,"Spotsylvania County, Virginia",136215,0.508,0.754,0.175,0.005,0.028,0.107,0.781,0.948,0.898,0.912,0.317,88628,37212,0.066,304.9
370,,Spotsylvania High,2,3,18,,6,16,12,1,9,4,11,3,133,140,5,,,8,286,93,118,24,34,15,2,Spotsylvania County  ,"Spotsylvania County, Virginia",136215,0.508,0.754,0.175,0.005,0.028,0.107,0.781,0.948,0.898,0.912,0.317,88628,37212,0.066,304.9
421,,Brooke Point High,7,8,31,11,7,12,16,4,18,8,14,31,188,232,5,,,2,427,221,121,18,40,22,5,Stafford County  ,"Stafford County, Virginia",152882,0.495,0.709,0.2,0.008,0.036,0.142,0.774,0.969,0.943,0.932,0.399,111108,42126,0.054,479.5
424,,Colonial Forge High,4,8,34,,12,14,17,1,21,5,18,22,181,344,10,,,7,542,123,305,41,38,33,2,Stafford County  ,"Stafford County, Virginia",152882,0.495,0.709,0.2,0.008,0.036,0.142,0.774,0.969,0.943,0.932,0.399,111108,42126,0.054,479.5
430,,Mountain View High ,7,5,22,20,9,8,17,3,11,6,11,15,123,337,2,,,1,463,21,80,1,14,8,339,Stafford County  ,"Stafford County, Virginia",152882,0.495,0.709,0.2,0.008,0.036,0.142,0.774,0.969,0.943,0.932,0.399,111108,42126,0.054,479.5
30,,North Stafford High,2,6,23,4,4,12,18,1,11,3,11,12,171,230,4,,,4,409,112,175,20,55,29,18,Stafford County  ,"Stafford County, Virginia",152882,0.495,0.709,0.2,0.008,0.036,0.142,0.774,0.969,0.943,0.932,0.399,111108,42126,0.054,479.5
20,,Stafford Senior High,2,6,25,1,4,14,3,22,3,13,19,7,172,284,9,,,12,477,112,242,42,53,26,2,Stafford County  ,"Stafford County, Virginia",152882,0.495,0.709,0.2,0.008,0.036,0.142,0.774,0.969,0.943,0.932,0.399,111108,42126,0.054,479.5
10,,Surry County High,7,2,0,8,2,9,12,1,4,0,0,5,39,16,2,,,,57,6,34,2,15,,,Surry County  ,"Surry County, Virginia",6422,0.504,0.552,0.415,0.005,0.005,0.027,0.743,0.823,0.648,0.85,0.206,57962,30260,0.119,25.3
340,,Sussex Central High,0,2,5,1,5,0,1,0,6,49,9,10,50,22,4,,,,76,3,28,3,39,3,,Sussex County  ,"Sussex County, Virginia",11159,0.404,0.413,0.561,0.006,0.005,0.033,0.692,0.788,0.664,0.803,0.127,49487,21652,0.216,24.7
940,,Graham High,20,0,4,14,17,20,55,12,5,23,14,6,77,46,7,,,,130,26,73,3,25,1,2,Tazewell County  ,"Tazewell County, Virginia",40595,0.504,0.948,0.032,0.002,0.007,0.011,0.745,0.798,0.73,0.817,0.149,42099,23738,0.217,86.9
821,,Richlands High,0,11,4,15,9,17,6,11,6,44,7,7,94,73,10,,,,177,102,24,,43,7,1,Tazewell County  ,"Tazewell County, Virginia",40595,0.504,0.948,0.032,0.002,0.007,0.011,0.745,0.798,0.73,0.817,0.149,42099,23738,0.217,86.9
890,,Tazewell High,18,6,12,0,16,0,,0,3,17,11,3,75,44,13,,,1,133,74,32,,26,1,,Tazewell County  ,"Tazewell County, Virginia",40595,0.504,0.948,0.032,0.002,0.007,0.011,0.745,0.798,0.73,0.817,0.149,42099,23738,0.217,86.9
